Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region
Astro Particle Voyage,"Indian Institute of Technology (IIT), Patna",https://unstop.com/hackathons/astro-particle-voyage-celesta-2024-indian-institute-of-technology-iit-patna-1173709,2024-10-02T00:00:00+05:30,hackathons,open,160,4,25654,"All, Coding Challenge, Online Quiz, Case Study, Simulation Game, Robotics","All, Coding Challenge, Online Quiz, Case Study, Simulation Game, Robotics",online
ML Trek: ML & AI Bootcamp,National Institute of Technology Karnataka,https://unstop.com/hackathons/ml-trek-ml-ai-bootcamp-national-institute-of-technology-karnataka-1173600,2024-10-02T00:00:00+05:30,N/A,open,453,N/A,25775,"Engineering Students, Postgraduate, Undergraduate, Conclave, Coding Challenge","Engineering Students, Postgraduate, Undergraduate, Conclave, Coding Challenge",offline
Kill the Bug,Shobhit University,https://unstop.com/hackathons/kill-the-bug-nexaura-shobhit-university-1173119,2024-10-01T00:00:00+05:30,hackathons,open,37,11,23379,"Coding Challenge, Hackathon, College Festival, All","Coding Challenge, Hackathon, College Festival, All",offline
Kshitij 2025 x Altair Datathon,"Indian Institute of Technology (IIT), Kharagpur",https://unstop.com/hackathons/kshitij-2025-x-altair-datathon-iit-kharagpur-1173162,2024-10-02T15:00:00+05:30,hackathons,open,574,23,28234,"Data Analytics, All, Data Science","Data Analytics, All, Data Science",online
CyberSec Battle,"International Institute of Information Technology (IIIT), Bhubaneswar",https://unstop.com/hackathons/cybersec-battle-d3-techno-management-fest-international-institute-of-information-technology-iiit-bhubaneswar-1172051,2024-09-30T00:00:00+05:30,hackathons,open,1,20,20785,"Engineering Students, Undergraduate, Coding Challenge, Hackathon","Engineering Students, Undergraduate, Coding Challenge, Hackathon",offline
Build a Bot,"International Institute of Information Technology (IIIT), Bhubaneswar",https://unstop.com/hackathons/build-a-bot-d3-techno-management-fest-international-institute-of-information-technology-iiit-bhubaneswar-1173391,2024-10-02T00:00:00+05:30,hackathons,open,22,22,20137,"Engineering Students, Undergraduate, Postgraduate, Robotics, Hackathon","Engineering Students, Undergraduate, Postgraduate, Robotics, Hackathon",offline
Code Cast,Shobhit University,https://unstop.com/hackathons/code-cast-shobhit-university-1173368,2024-10-01T00:00:00+05:30,hackathons,open,15,11,18529,"Coding Challenge, Hackathon, College Festival, All","Coding Challenge, Hackathon, College Festival, All",offline
CraftNCode,"International Institute of Information Technology (IIIT), Bhubaneswar",https://unstop.com/hackathons/craftncode-d3-techno-management-fest-international-institute-of-information-technology-iiit-bhubaneswar-1171379,2024-09-28T00:00:00+05:30,N/A,open,62,22,20148,"Hackathon, Engineering Students, Undergraduate, Postgraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Postgraduate, Coding Challenge",offline
CryptoGuard CTF,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/cryptoguard-ctf-concetto24-indian-institute-of-technology-indian-school-of-mines-1173080,2024-10-01T00:00:00+05:30,hackathons,open,44,7,21353,"Coding Challenge, All","Coding Challenge, All",offline
CodeRapido,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/coderapido-concetto24-indian-institute-of-technology-indian-school-of-mines-1173076,2024-10-02T00:00:00+05:30,N/A,open,72,8,19558,"All, Hackathon, Coding Challenge","All, Hackathon, Coding Challenge",offline
