Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region,Days Until Deadline,Is Online,Total Impressions,Application Status
Hacked 2.0,"BML Munjal University (BMU), Gurgaon",https://unstop.com/hackathons/hacked-20-bml-munjal-university-bmu-gurgaon-901802,2024-02-16 00:00:00,hackathons,expired,323,2099-12-31 00:00:00.000000000,18245,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops",offline,27712,0,18568,0
Game of Code,Bharati Vidyapeeth's College of Engineering,https://unstop.com/hackathons/game-of-code-bvest24-bvcoe-905886,2024-02-18 00:00:00,hackathons,expired,156,2099-12-31 00:00:00.000000000,21272,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",offline,27710,0,21428,0
IdeaGem 1.0 - Tech Strategic Ideathon,"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",https://unstop.com/hackathons/ideagem-10-tech-strategic-ideathon-shaheed-sukhdev-college-of-business-studies-sscbs-du-delhi-907754,2024-02-19 00:00:00,hackathons,expired,182,2099-12-31 00:00:00.000000000,17174,"Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All","Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All",offline,27709,0,17356,0
CICS: Ideathon,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/cics-ideathon-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-906071,2024-02-18 00:00:00,hackathons,expired,31,2099-12-31 00:00:00.000000000,17406,"Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All","Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All",offline,27710,0,17437,0
Hacksprint v5.0,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/hacksprint-v50-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-904444,2024-02-16 00:00:00,hackathons,expired,29,2099-12-31 00:00:00.000000000,17720,"Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate","Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate",online,27712,1,17749,0
V-Launch Pad,"Vellore Institute of Technology (VIT-AP), Andhra Pradesh",https://unstop.com/hackathons/v-launch-pad-vellore-institute-of-technology-vit-ap-andhra-pradesh-904989,2024-02-17 00:00:00,hackathons,expired,379,2099-12-31 00:00:00.000000000,19728,"Business Plan, All","Business Plan, All",offline,27711,0,20107,0
Code-A-Bot,IIIT-Vadodara - International Campus Diu (IIITV-ICD),https://unstop.com/hackathons/code-a-bot-iiit-vadodara-international-campus-diu-iiitv-icd-903948,2024-02-16 00:00:00,hackathons,expired,347,2099-12-31 00:00:00.000000000,18703,"Engineering, Hackathon, All","Engineering, Hackathon, All",online,27712,1,19050,0
AlgoUtsav 2024,"National Institute of Technology (NIT), Rourkela",https://unstop.com/hackathons/algoutsav-2024-nit-rourkela-905708,2024-02-18 00:00:00,hackathons,expired,806,2099-12-31 00:00:00.000000000,25324,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students",online,27710,1,26130,0
GameCodeX 1.0,"LNM Institute of Information Technology (LNMIIT), Jaipur",https://unstop.com/hackathons/gamecodex-10-lnm-institute-of-information-technology-lnmiit-jaipur-892560,2024-02-07 00:00:00,hackathons,expired,198,2099-12-31 00:00:00.000000000,17783,"Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering","Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering",online,27721,1,17981,0
Secure Knight,"Velagapudi Ramakrishna Siddhartha Engineering College (VRSEC), Vijayawada",https://unstop.com/hackathons/secure-knight-afosec-2024-velagapudi-ramakrishna-siddhartha-engineering-college-vrsec-vijayawada-906635,2024-02-19 00:00:00,hackathons,expired,17,2099-12-31 00:00:00.000000000,11754,"College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27709,0,11771,0
Hacked 2.0,"BML Munjal University (BMU), Gurgaon",https://unstop.com/hackathons/hacked-20-bml-munjal-university-bmu-gurgaon-901802,2024-02-16 00:00:00,hackathons,expired,323,2099-12-31 00:00:00.000000000,18245,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops",offline,27712,0,18568,0
Game of Code,Bharati Vidyapeeth's College of Engineering,https://unstop.com/hackathons/game-of-code-bvest24-bvcoe-905886,2024-02-18 00:00:00,hackathons,expired,156,2099-12-31 00:00:00.000000000,21272,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",offline,27710,0,21428,0
IdeaGem 1.0 - Tech Strategic Ideathon,"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",https://unstop.com/hackathons/ideagem-10-tech-strategic-ideathon-shaheed-sukhdev-college-of-business-studies-sscbs-du-delhi-907754,2024-02-19 00:00:00,hackathons,expired,182,2099-12-31 00:00:00.000000000,17174,"Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All","Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All",offline,27709,0,17356,0
CICS: Ideathon,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/cics-ideathon-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-906071,2024-02-18 00:00:00,hackathons,expired,31,2099-12-31 00:00:00.000000000,17406,"Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All","Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All",offline,27710,0,17437,0
Hacksprint v5.0,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/hacksprint-v50-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-904444,2024-02-16 00:00:00,hackathons,expired,29,2099-12-31 00:00:00.000000000,17720,"Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate","Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate",online,27712,1,17749,0
V-Launch Pad,"Vellore Institute of Technology (VIT-AP), Andhra Pradesh",https://unstop.com/hackathons/v-launch-pad-vellore-institute-of-technology-vit-ap-andhra-pradesh-904989,2024-02-17 00:00:00,hackathons,expired,379,2099-12-31 00:00:00.000000000,19728,"Business Plan, All","Business Plan, All",offline,27711,0,20107,0
Code-A-Bot,IIIT-Vadodara - International Campus Diu (IIITV-ICD),https://unstop.com/hackathons/code-a-bot-iiit-vadodara-international-campus-diu-iiitv-icd-903948,2024-02-16 00:00:00,hackathons,expired,347,2099-12-31 00:00:00.000000000,18703,"Engineering, Hackathon, All","Engineering, Hackathon, All",online,27712,1,19050,0
AlgoUtsav 2024,"National Institute of Technology (NIT), Rourkela",https://unstop.com/hackathons/algoutsav-2024-nit-rourkela-905708,2024-02-18 00:00:00,hackathons,expired,806,2099-12-31 00:00:00.000000000,25324,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students",online,27710,1,26130,0
GameCodeX 1.0,"LNM Institute of Information Technology (LNMIIT), Jaipur",https://unstop.com/hackathons/gamecodex-10-lnm-institute-of-information-technology-lnmiit-jaipur-892560,2024-02-07 00:00:00,hackathons,expired,198,2099-12-31 00:00:00.000000000,17783,"Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering","Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering",online,27721,1,17981,0
Secure Knight,"Velagapudi Ramakrishna Siddhartha Engineering College (VRSEC), Vijayawada",https://unstop.com/hackathons/secure-knight-afosec-2024-velagapudi-ramakrishna-siddhartha-engineering-college-vrsec-vijayawada-906635,2024-02-19 00:00:00,hackathons,expired,17,2099-12-31 00:00:00.000000000,11754,"College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27709,0,11771,0
Hacked 2.0,"BML Munjal University (BMU), Gurgaon",https://unstop.com/hackathons/hacked-20-bml-munjal-university-bmu-gurgaon-901802,2024-02-16 00:00:00,hackathons,expired,323,2099-12-31 00:00:00.000000000,18245,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops",offline,27712,0,18568,0
Game of Code,Bharati Vidyapeeth's College of Engineering,https://unstop.com/hackathons/game-of-code-bvest24-bvcoe-905886,2024-02-18 00:00:00,hackathons,expired,156,2099-12-31 00:00:00.000000000,21272,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",offline,27710,0,21428,0
IdeaGem 1.0 - Tech Strategic Ideathon,"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",https://unstop.com/hackathons/ideagem-10-tech-strategic-ideathon-shaheed-sukhdev-college-of-business-studies-sscbs-du-delhi-907754,2024-02-19 00:00:00,hackathons,expired,182,2099-12-31 00:00:00.000000000,17174,"Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All","Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All",offline,27709,0,17356,0
CICS: Ideathon,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/cics-ideathon-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-906071,2024-02-18 00:00:00,hackathons,expired,31,2099-12-31 00:00:00.000000000,17406,"Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All","Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All",offline,27710,0,17437,0
Hacksprint v5.0,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/hacksprint-v50-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-904444,2024-02-16 00:00:00,hackathons,expired,29,2099-12-31 00:00:00.000000000,17720,"Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate","Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate",online,27712,1,17749,0
V-Launch Pad,"Vellore Institute of Technology (VIT-AP), Andhra Pradesh",https://unstop.com/hackathons/v-launch-pad-vellore-institute-of-technology-vit-ap-andhra-pradesh-904989,2024-02-17 00:00:00,hackathons,expired,379,2099-12-31 00:00:00.000000000,19728,"Business Plan, All","Business Plan, All",offline,27711,0,20107,0
Code-A-Bot,IIIT-Vadodara - International Campus Diu (IIITV-ICD),https://unstop.com/hackathons/code-a-bot-iiit-vadodara-international-campus-diu-iiitv-icd-903948,2024-02-16 00:00:00,hackathons,expired,347,2099-12-31 00:00:00.000000000,18703,"Engineering, Hackathon, All","Engineering, Hackathon, All",online,27712,1,19050,0
AlgoUtsav 2024,"National Institute of Technology (NIT), Rourkela",https://unstop.com/hackathons/algoutsav-2024-nit-rourkela-905708,2024-02-18 00:00:00,hackathons,expired,806,2099-12-31 00:00:00.000000000,25324,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students",online,27710,1,26130,0
GameCodeX 1.0,"LNM Institute of Information Technology (LNMIIT), Jaipur",https://unstop.com/hackathons/gamecodex-10-lnm-institute-of-information-technology-lnmiit-jaipur-892560,2024-02-07 00:00:00,hackathons,expired,198,2099-12-31 00:00:00.000000000,17783,"Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering","Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering",online,27721,1,17981,0
Secure Knight,"Velagapudi Ramakrishna Siddhartha Engineering College (VRSEC), Vijayawada",https://unstop.com/hackathons/secure-knight-afosec-2024-velagapudi-ramakrishna-siddhartha-engineering-college-vrsec-vijayawada-906635,2024-02-19 00:00:00,hackathons,expired,17,2099-12-31 00:00:00.000000000,11754,"College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27709,0,11771,0
Hacked 2.0,"BML Munjal University (BMU), Gurgaon",https://unstop.com/hackathons/hacked-20-bml-munjal-university-bmu-gurgaon-901802,2024-02-16 00:00:00,hackathons,expired,323,2099-12-31 00:00:00.000000000,18245,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops",offline,27712,0,18568,0
Game of Code,Bharati Vidyapeeth's College of Engineering,https://unstop.com/hackathons/game-of-code-bvest24-bvcoe-905886,2024-02-18 00:00:00,hackathons,expired,156,2099-12-31 00:00:00.000000000,21272,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",offline,27710,0,21428,0
IdeaGem 1.0 - Tech Strategic Ideathon,"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",https://unstop.com/hackathons/ideagem-10-tech-strategic-ideathon-shaheed-sukhdev-college-of-business-studies-sscbs-du-delhi-907754,2024-02-19 00:00:00,hackathons,expired,182,2099-12-31 00:00:00.000000000,17174,"Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All","Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All",offline,27709,0,17356,0
CICS: Ideathon,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/cics-ideathon-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-906071,2024-02-18 00:00:00,hackathons,expired,31,2099-12-31 00:00:00.000000000,17406,"Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All","Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All",offline,27710,0,17437,0
Hacksprint v5.0,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/hacksprint-v50-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-904444,2024-02-16 00:00:00,hackathons,expired,29,2099-12-31 00:00:00.000000000,17720,"Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate","Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate",online,27712,1,17749,0
V-Launch Pad,"Vellore Institute of Technology (VIT-AP), Andhra Pradesh",https://unstop.com/hackathons/v-launch-pad-vellore-institute-of-technology-vit-ap-andhra-pradesh-904989,2024-02-17 00:00:00,hackathons,expired,379,2099-12-31 00:00:00.000000000,19728,"Business Plan, All","Business Plan, All",offline,27711,0,20107,0
Code-A-Bot,IIIT-Vadodara - International Campus Diu (IIITV-ICD),https://unstop.com/hackathons/code-a-bot-iiit-vadodara-international-campus-diu-iiitv-icd-903948,2024-02-16 00:00:00,hackathons,expired,347,2099-12-31 00:00:00.000000000,18703,"Engineering, Hackathon, All","Engineering, Hackathon, All",online,27712,1,19050,0
AlgoUtsav 2024,"National Institute of Technology (NIT), Rourkela",https://unstop.com/hackathons/algoutsav-2024-nit-rourkela-905708,2024-02-18 00:00:00,hackathons,expired,806,2099-12-31 00:00:00.000000000,25324,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students",online,27710,1,26130,0
GameCodeX 1.0,"LNM Institute of Information Technology (LNMIIT), Jaipur",https://unstop.com/hackathons/gamecodex-10-lnm-institute-of-information-technology-lnmiit-jaipur-892560,2024-02-07 00:00:00,hackathons,expired,198,2099-12-31 00:00:00.000000000,17783,"Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering","Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering",online,27721,1,17981,0
Secure Knight,"Velagapudi Ramakrishna Siddhartha Engineering College (VRSEC), Vijayawada",https://unstop.com/hackathons/secure-knight-afosec-2024-velagapudi-ramakrishna-siddhartha-engineering-college-vrsec-vijayawada-906635,2024-02-19 00:00:00,hackathons,expired,17,2099-12-31 00:00:00.000000000,11754,"College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27709,0,11771,0
Hacked 2.0,"BML Munjal University (BMU), Gurgaon",https://unstop.com/hackathons/hacked-20-bml-munjal-university-bmu-gurgaon-901802,2024-02-16 00:00:00,hackathons,expired,323,2099-12-31 00:00:00.000000000,18245,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops",offline,27712,0,18568,0
Game of Code,Bharati Vidyapeeth's College of Engineering,https://unstop.com/hackathons/game-of-code-bvest24-bvcoe-905886,2024-02-18 00:00:00,hackathons,expired,156,2099-12-31 00:00:00.000000000,21272,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",offline,27710,0,21428,0
IdeaGem 1.0 - Tech Strategic Ideathon,"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",https://unstop.com/hackathons/ideagem-10-tech-strategic-ideathon-shaheed-sukhdev-college-of-business-studies-sscbs-du-delhi-907754,2024-02-19 00:00:00,hackathons,expired,182,2099-12-31 00:00:00.000000000,17174,"Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All","Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All",offline,27709,0,17356,0
CICS: Ideathon,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/cics-ideathon-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-906071,2024-02-18 00:00:00,hackathons,expired,31,2099-12-31 00:00:00.000000000,17406,"Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All","Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All",offline,27710,0,17437,0
Hacksprint v5.0,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/hacksprint-v50-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-904444,2024-02-16 00:00:00,hackathons,expired,29,2099-12-31 00:00:00.000000000,17720,"Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate","Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate",online,27712,1,17749,0
V-Launch Pad,"Vellore Institute of Technology (VIT-AP), Andhra Pradesh",https://unstop.com/hackathons/v-launch-pad-vellore-institute-of-technology-vit-ap-andhra-pradesh-904989,2024-02-17 00:00:00,hackathons,expired,379,2099-12-31 00:00:00.000000000,19728,"Business Plan, All","Business Plan, All",offline,27711,0,20107,0
Code-A-Bot,IIIT-Vadodara - International Campus Diu (IIITV-ICD),https://unstop.com/hackathons/code-a-bot-iiit-vadodara-international-campus-diu-iiitv-icd-903948,2024-02-16 00:00:00,hackathons,expired,347,2099-12-31 00:00:00.000000000,18703,"Engineering, Hackathon, All","Engineering, Hackathon, All",online,27712,1,19050,0
AlgoUtsav 2024,"National Institute of Technology (NIT), Rourkela",https://unstop.com/hackathons/algoutsav-2024-nit-rourkela-905708,2024-02-18 00:00:00,hackathons,expired,806,2099-12-31 00:00:00.000000000,25324,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students",online,27710,1,26130,0
GameCodeX 1.0,"LNM Institute of Information Technology (LNMIIT), Jaipur",https://unstop.com/hackathons/gamecodex-10-lnm-institute-of-information-technology-lnmiit-jaipur-892560,2024-02-07 00:00:00,hackathons,expired,198,2099-12-31 00:00:00.000000000,17783,"Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering","Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering",online,27721,1,17981,0
Secure Knight,"Velagapudi Ramakrishna Siddhartha Engineering College (VRSEC), Vijayawada",https://unstop.com/hackathons/secure-knight-afosec-2024-velagapudi-ramakrishna-siddhartha-engineering-college-vrsec-vijayawada-906635,2024-02-19 00:00:00,hackathons,expired,17,2099-12-31 00:00:00.000000000,11754,"College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27709,0,11771,0
Hacked 2.0,"BML Munjal University (BMU), Gurgaon",https://unstop.com/hackathons/hacked-20-bml-munjal-university-bmu-gurgaon-901802,2024-02-16 00:00:00,hackathons,expired,323,2099-12-31 00:00:00.000000000,18245,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops",offline,27712,0,18568,0
Game of Code,Bharati Vidyapeeth's College of Engineering,https://unstop.com/hackathons/game-of-code-bvest24-bvcoe-905886,2024-02-18 00:00:00,hackathons,expired,156,2099-12-31 00:00:00.000000000,21272,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",offline,27710,0,21428,0
IdeaGem 1.0 - Tech Strategic Ideathon,"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",https://unstop.com/hackathons/ideagem-10-tech-strategic-ideathon-shaheed-sukhdev-college-of-business-studies-sscbs-du-delhi-907754,2024-02-19 00:00:00,hackathons,expired,182,2099-12-31 00:00:00.000000000,17174,"Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All","Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All",offline,27709,0,17356,0
CICS: Ideathon,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/cics-ideathon-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-906071,2024-02-18 00:00:00,hackathons,expired,31,2099-12-31 00:00:00.000000000,17406,"Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All","Business Plan, Entrepreneurship, Marketing, Panel Discussion, Startup fair, All",offline,27710,0,17437,0
Hacksprint v5.0,"Marathwada Mitra Mandal's College of Engineering (MMCOE), Pune",https://unstop.com/hackathons/hacksprint-v50-marathwada-mitra-mandals-college-of-engineering-mmcoe-pune-904444,2024-02-16 00:00:00,hackathons,expired,29,2099-12-31 00:00:00.000000000,17720,"Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate","Hackathon, Business Plan, Strategy, Coding Challenge, Data Science, Engineering Students, Undergraduate",online,27712,1,17749,0
V-Launch Pad,"Vellore Institute of Technology (VIT-AP), Andhra Pradesh",https://unstop.com/hackathons/v-launch-pad-vellore-institute-of-technology-vit-ap-andhra-pradesh-904989,2024-02-17 00:00:00,hackathons,expired,379,2099-12-31 00:00:00.000000000,19728,"Business Plan, All","Business Plan, All",offline,27711,0,20107,0
Code-A-Bot,IIIT-Vadodara - International Campus Diu (IIITV-ICD),https://unstop.com/hackathons/code-a-bot-iiit-vadodara-international-campus-diu-iiitv-icd-903948,2024-02-16 00:00:00,hackathons,expired,347,2099-12-31 00:00:00.000000000,18703,"Engineering, Hackathon, All","Engineering, Hackathon, All",online,27712,1,19050,0
AlgoUtsav 2024,"National Institute of Technology (NIT), Rourkela",https://unstop.com/hackathons/algoutsav-2024-nit-rourkela-905708,2024-02-18 00:00:00,hackathons,expired,806,2099-12-31 00:00:00.000000000,25324,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students",online,27710,1,26130,0
GameCodeX 1.0,"LNM Institute of Information Technology (LNMIIT), Jaipur",https://unstop.com/hackathons/gamecodex-10-lnm-institute-of-information-technology-lnmiit-jaipur-892560,2024-02-07 00:00:00,hackathons,expired,198,2099-12-31 00:00:00.000000000,17783,"Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering","Coding Challenge, College Festival, Data Analytics, Designing, Hackathon, All, Engineering",online,27721,1,17981,0
Secure Knight,"Velagapudi Ramakrishna Siddhartha Engineering College (VRSEC), Vijayawada",https://unstop.com/hackathons/secure-knight-afosec-2024-velagapudi-ramakrishna-siddhartha-engineering-college-vrsec-vijayawada-906635,2024-02-19 00:00:00,hackathons,expired,17,2099-12-31 00:00:00.000000000,11754,"College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Hackathon, Strategy, Awards, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27709,0,11771,0
Hacked 2.0,"BML Munjal University (BMU), Gurgaon",https://unstop.com/hackathons/hacked-20-bml-munjal-university-bmu-gurgaon-901802,2024-02-16 00:00:00,hackathons,expired,323,2099-12-31 00:00:00.000000000,18245,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon, Workshops",offline,27712,0,18568,0
Game of Code,Bharati Vidyapeeth's College of Engineering,https://unstop.com/hackathons/game-of-code-bvest24-bvcoe-905886,2024-02-18 00:00:00,hackathons,expired,156,2099-12-31 00:00:00.000000000,21272,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",offline,27710,0,21428,0
IdeaGem 1.0 - Tech Strategic Ideathon,"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",https://unstop.com/hackathons/ideagem-10-tech-strategic-ideathon-shaheed-sukhdev-college-of-business-studies-sscbs-du-delhi-907754,2024-02-19 00:00:00,hackathons,expired,182,2099-12-31 00:00:00.000000000,17174,"Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All","Hackathon, Business Plan, Entrepreneurship, Presentation, Strategy, All",offline,27709,0,17356,0
