Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region,Days Until Deadline,Is Online,Total Impressions,Application Status
Build a Bot,"International Institute of Information Technology (IIIT), Bhubaneswar",https://unstop.com/hackathons/build-a-bot-d3-techno-management-fest-international-institute-of-information-technology-iiit-bhubaneswar-1173391,2024-10-02 00:00:00,hackathons,open,22,1970-01-01 00:00:00.000000022,20137,"Engineering Students, Undergraduate, Postgraduate, Robotics, Hackathon","Engineering Students, Undergraduate, Postgraduate, Robotics, Hackathon",offline,-19998,0,20159,0
Code Cast,Shobhit University,https://unstop.com/hackathons/code-cast-shobhit-university-1173368,2024-10-01 00:00:00,hackathons,open,15,1970-01-01 00:00:00.000000011,18529,"Coding Challenge, Hackathon, College Festival, All","Coding Challenge, Hackathon, College Festival, All",offline,-19997,0,18544,0
CraftNCode,"International Institute of Information Technology (IIIT), Bhubaneswar",https://unstop.com/hackathons/craftncode-d3-techno-management-fest-international-institute-of-information-technology-iiit-bhubaneswar-1171379,2024-09-28 00:00:00,,open,62,1970-01-01 00:00:00.000000022,20148,"Hackathon, Engineering Students, Undergraduate, Postgraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Postgraduate, Coding Challenge",offline,-19994,0,20210,0
CryptoGuard CTF,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/cryptoguard-ctf-concetto24-indian-institute-of-technology-indian-school-of-mines-1173080,2024-10-01 00:00:00,hackathons,open,44,1970-01-01 00:00:00.000000007,21353,"Coding Challenge, All","Coding Challenge, All",offline,-19997,0,21397,0
CodeRapido,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/coderapido-concetto24-indian-institute-of-technology-indian-school-of-mines-1173076,2024-10-02 00:00:00,,open,72,1970-01-01 00:00:00.000000008,19558,"All, Hackathon, Coding Challenge","All, Hackathon, Coding Challenge",offline,-19998,0,19630,0
Masterstack 3.0,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/masterstack-30-concetto24-indian-institute-of-technology-indian-school-of-mines-1173044,2024-10-02 00:00:00,,open,106,1970-01-01 00:00:00.000000005,19090,"All, Coding Challenge, Hackathon","All, Coding Challenge, Hackathon",offline,-19998,0,19196,0
C-Coders Arena,"Marwadi University (MU), Gujarat",https://unstop.com/hackathons/c-coders-arena-marwadi-university-mu-gujarat-1173049,2024-10-01 00:00:00,hackathons,open,81,1970-01-01 00:00:00.000000005,16473,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,-19997,0,16554,0
DevHost Hacknight 2024,Sahyadri Open Source Community,https://unstop.com/hackathons/devhost-hacknight-2024-sahyadri-open-source-community-1171745,2024-10-01 06:00:00,hackathons,open,75,1970-01-01 00:00:00.000000006,19392,"Hackathon, School Students, Engineering Students, Undergraduate","Hackathon, School Students, Engineering Students, Undergraduate",offline,-19998,0,19467,0
Embedded Development Hackathon,Ksham Innovation Pvt. Ltd.,https://unstop.com/hackathons/embedded-development-hackathon-ksham-innovation-pvt-ltd-1172627,2024-09-30 00:00:00,hackathons,open,1366,1970-01-01 00:00:00.000000001,33278,"All, Coding Challenge, Hackathon, Others","All, Coding Challenge, Hackathon, Others",online,-19996,1,34644,0
PCB Designing Challenge,Ksham Innovation Pvt. Ltd.,https://unstop.com/hackathons/pcb-designing-challenge-ksham-innovation-pvt-ltd-1172519,2024-09-30 00:00:00,hackathons,open,99,1970-01-01 00:00:00.000000001,23256,"Hackathon, Others, Engineering Students, Postgraduate, Undergraduate","Hackathon, Others, Engineering Students, Postgraduate, Undergraduate",online,-19996,1,23355,0
"AI Frenzy: Dream It, Generate It!","Presidency University (PU), Bangalore",https://unstop.com/hackathons/ai-frenzy-dream-it-generate-it-presidency-university-pu-bangalore-1172108,2024-10-01 00:00:00,hackathons,open,207,1970-01-01 00:00:00.000000001,21628,"All, Strategy, Designing, Presentation, Social Media & Digital, Dramatics","All, Strategy, Designing, Presentation, Social Media & Digital, Dramatics",online,-19997,1,21835,0
HackZ'24,"College of Engineering (CEG), Guindy",https://unstop.com/hackathons/hackz24-ceg-guindy-1171819,2024-09-29 00:00:00,hackathons,open,693,1970-01-01 00:00:00.000000011,29879,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,-19995,1,30572,0
Datahack 3.0: A 24 Hour Datathon,"Shri Vile Parle Kelavani Mandal's Dwarkadas J. Sanghvi College of Engineering (DJSCE), Mumbai",https://unstop.com/hackathons/datahack-30-a-24-hour-datathon-shri-vile-parle-kelavani-mandals-dwarkadas-j-sanghvi-college-of-engineering-dj-1169920,2024-09-28 00:00:00,hackathons,open,576,1970-01-01 00:00:00.000000004,26686,"Hackathon, Data Science, Engineering Students, Undergraduate, Postgraduate","Hackathon, Data Science, Engineering Students, Undergraduate, Postgraduate",offline,-19994,0,27262,0
Hack the Block,Indian Institute of Technology (Indian School of Mines)-Dhanbad,https://unstop.com/hackathons/hack-the-block-concetto24-indian-institute-of-technology-indian-school-of-mines-dhanbad-1170942,2024-09-27 00:00:00,,open,239,2099-12-31 00:00:00.000000000,22550,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Case Study, College Festival, Entrepreneurship","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Case Study, College Festival, Entrepreneurship",offline,27488,0,22789,0
Breach Bytes 2.0 - A CTF,"Shri Vile Parle Kelavani Mandal's Dwarkadas J. Sanghvi College of Engineering (DJSCE), Mumbai",https://unstop.com/hackathons/breach-bytes-20-shri-vile-parle-kelavani-mandals-dwarkadas-j-sanghvi-college-of-engineering-djsce-mumbai-1171442,2024-09-27 00:00:00,hackathons,open,282,2099-12-31 00:00:00.000000000,18777,"Coding Challenge, Engineering Students, Undergraduate","Coding Challenge, Engineering Students, Undergraduate",offline,27488,0,19059,0
AVISHKAAR Season 2 Hackathon: A National-Level Innovation Challenge,"Aditya Institute of Technology and Management (AITAM), Tekkai, Andhra Pradesh",https://unstop.com/hackathons/avishkaar-season-2-aditya-institute-of-technology-and-management-aitam-tekkai-andhra-pradesh-1171165,2024-09-28 00:00:00,hackathons,open,364,1970-01-01 00:00:00.000000017,30081,"Hackathon, Data Science, Robotics, Case Study, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher","Hackathon, Data Science, Robotics, Case Study, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher",online,-19994,1,30445,0
"Codeavour 6.0 International- Biggest Coding, AI, and Robotics Competition",Codeavour International,https://unstop.com/hackathons/codeavour-60-international-biggest-coding-ai-and-robotics-competition-codeavour-international-1170783,2024-09-27 00:00:00,,open,10,1970-01-01 00:00:00.000000018,24188,"School Students, Coding Challenge","School Students, Coding Challenge",online,-19993,1,24198,0
Tinkercase,IEEE DTU,https://unstop.com/hackathons/tinkercase-ieee-day-2024-ieee-dtu-1170299,2024-09-26 00:00:00,hackathons,open,230,1970-01-01 00:00:00.000000001,20095,"Hackathon, Robotics, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Robotics, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,-19992,0,20325,0
Monthly Coding Challenge,Loyola ICAM College of Engineering and Technology (LICET),https://unstop.com/hackathons/monthly-coding-challenge-loyola-icam-college-of-engineering-and-technology-licet-1170666,2024-09-25 00:00:00,hackathons,open,200,1970-01-01 00:00:00.000000012,20282,"Coding Challenge, Online Quiz, All","Coding Challenge, Online Quiz, All",online,-19991,1,20482,0
VisionForge 48,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/visionforge-48-concetto24-indian-institute-of-technology-indian-school-of-mines-1169453,2024-09-25 00:00:00,,open,99,1970-01-01 00:00:00.000000006,19715,"Designing, All","Designing, All",online,-19991,1,19814,0
Ascension Arcade,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/ascension-arcade-concetto24-indian-institute-of-technology-indian-school-of-mines-1170051,2024-09-26 00:00:00,,open,50,1970-01-01 00:00:00.000000009,18089,"Others, Engineering Students, MBA Students, Undergraduate, Postgraduate","Others, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,-19992,1,18139,0
Imagine Hackathon,PanIIT Alumni India,https://unstop.com/hackathons/imagine-hackathon-paniit-alumni-india-1170040,2024-09-26 00:00:00,hackathons,open,812,1970-01-01 00:00:00.000000030,29103,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals",offline,-19992,0,29915,0
Code Wars by C3,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/speedcp-challenge-concetto24-indian-institute-of-technology-indian-school-of-mines-1169471,2024-09-25 00:00:00,,open,161,1970-01-01 00:00:00.000000008,18748,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,-19991,1,18909,0
AlgoVerse,Indian Institute of Technology (Indian School of Mines) Dhanbad,https://unstop.com/hackathons/algoverse-concetto24-indian-institute-of-technology-indian-school-of-mines-dhanbad-1169413,2024-09-25 00:00:00,hackathons,open,90,1970-01-01 00:00:00.000000005,21953,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Finance, Strategy, Data Science","Engineering Students, MBA Students, Undergraduate, Postgraduate, Finance, Strategy, Data Science",offline,-19991,0,22043,0
I-Solve,"Nitte Meenakshi Institute of Technology, Bangalore, Karnataka",https://unstop.com/hackathons/i-solve-nitte-meenakshi-institute-of-technology-bangalore-karnataka-1060100,2024-09-25 13:00:00,hackathons,open,480,1970-01-01 00:00:00.000000002,32311,"Hackathon, Coding Challenge, Presentation, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals","Hackathon, Coding Challenge, Presentation, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals",offline,-19992,0,32791,0
Techathalon,Atal Bihari Vajpayee Indian Institute of Information Technology and Management (ABV IIITM) Gwalior,https://unstop.com/hackathons/techathalon-infotsav24-atal-bihari-vajpayee-indian-institute-of-information-technology-and-management-abv-iii-1152392,2024-09-10 00:00:00,hackathons,open,330,1970-01-01 00:00:00.000000001,64404,"All, On Campus Quiz, Coding Challenge","All, On Campus Quiz, Coding Challenge",offline,-19976,0,64734,0
Void Hacks() 6.0,"Shri Vaishnav Vidyapeeth Vishwavidyalaya (SVVV), Indore",https://unstop.com/hackathons/void-hacks-60-shri-vaishnav-vidyapeeth-vishwavidyalaya-svvv-indore-1163581,2024-09-19 00:00:00,hackathons,open,703,2099-12-31 00:00:00.000000000,29126,"Engineering, Others, Case Study, Coding Challenge, Data Analytics, Hackathon, Engineering Students, Undergraduate, Postgraduate","Engineering, Others, Case Study, Coding Challenge, Data Analytics, Hackathon, Engineering Students, Undergraduate, Postgraduate",online,27496,1,29829,0
Innovate & Inspire: Season 5,K. Ramakrishnan College of Engineering ,https://unstop.com/hackathons/innovate-inspire-season-5-k-ramakrishnan-college-of-engineering-1165357,2024-09-21 13:43:34,,open,223,1970-01-01 00:00:00.000000010,15007,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",online,-19988,1,15230,0
